,%JobState_Angestellt,%JobState_Arbeitslos,%JobState_Hausfrau,%JobState_Rentner,%JobState_Selbstständig,%JobState_Student,%JobState_Unknown
8001_,62.37337192474674,0.4341534008683068,1.0130246020260492,12.445730824891461,9.985528219971057,4.486251808972503,9.261939218523878
8002_,67.7950594693504,0.0,1.3723696248856359,9.78956999085087,4.757548032936871,4.117108874656908,12.168344007319305
8003_,74.70988395358144,0.2801120448179272,0.3201280512204882,4.161664665866347,3.6014405762304924,7.963185274109644,8.96358543417367
8004_,72.60974143114852,0.6614552014431749,0.6013229104028863,4.930847865303668,3.9085989176187614,6.554419723391462,10.733613950691522
8005_,74.53326950694112,0.5744375299186214,0.47869794159885115,2.967927237912877,3.9731929152704644,4.8827190043082815,12.589755864049785
8006_,66.32911392405063,0.25316455696202533,0.5907172995780591,8.31223628691983,4.810126582278481,4.641350210970464,15.063291139240507
8008_,67.09183673469387,0.15306122448979592,1.4285714285714286,9.13265306122449,7.244897959183674,3.061224489795918,11.887755102040817
8032_,63.34231805929919,0.1347708894878706,1.302785265049416,11.455525606469003,6.738544474393531,3.8185085354896677,13.20754716981132
8037_,68.92079666512274,0.3242241778601204,0.7874015748031497,7.596109309865678,3.0569708198239924,5.4191755442334415,13.895321908290875
8038_,63.82770435633872,0.2936857562408223,1.5173764072442486,14.243759177679882,4.747919725893294,3.1326480665687715,12.236906510034263
8041_,61.6262482168331,1.2838801711840229,1.9971469329529243,18.1169757489301,2.710413694721826,2.5677603423680457,11.697574893009985
8044_,59.0454195535027,0.23094688221709006,2.2324865280985375,13.08698999230177,8.468052347959969,3.5411855273287145,13.394919168591224
8045_,65.24644945697577,0.5012531328320802,2.0885547201336676,8.939014202172096,3.592314118629908,4.427736006683375,15.2046783625731
8046_,66.77458518818293,0.3642250101173614,1.821125050586807,12.909753136382031,2.7114528530959126,4.573047349251315,10.84581141238365
8047_,65.96360628618693,0.1654259718775848,1.943755169561621,13.523573200992557,2.5641025641025643,3.3085194375516958,12.531017369727047
8048_,63.19947333772219,0.4279131007241606,1.0204081632653061,13.429888084265965,2.5016458196181697,2.9295589203423305,16.491112574061884
8049_,61.759551349456714,0.2103049421661409,1.3669821240799158,15.106905012267788,4.556607080266386,4.241149667017175,12.758499824745881
8050_,69.39294801890222,0.3635041802980734,1.2359142130134497,9.56015994183933,1.8538713195201746,4.580152671755725,13.013449654671028
8051_,66.78794178794179,0.8316008316008316,1.9230769230769231,16.995841995841996,1.819126819126819,2.858627858627859,8.783783783783784
8052_,67.41397288842545,0.5735140771637122,1.616266944734098,12.825860271115745,2.3983315954118876,3.2846715328467155,11.887382690302399
8053_,56.907378335949765,0.07849293563579278,1.6483516483516483,20.486656200941916,6.279434850863423,2.7472527472527473,11.852433281004709
8055_,71.04919460165434,0.21767522855899,1.262516325642142,10.535481062255116,3.134523291249456,3.308663474096648,10.491946016543316
8057_,64.76149548775247,0.3867640739149119,1.2032660077352815,11.431027073485174,3.2660077352814785,6.231198968629136,12.720240653201547
8064_,67.04119850187266,0.0,0.7490636704119851,20.224719101123597,2.6217228464419478,4.868913857677903,4.49438202247191
Zurich_,66.81131196816392,0.36196604716142416,1.253122221751831,10.935184793192498,3.96892595571737,4.368993692053681,12.300495321959273
