,Avg_Children_0-26,Avg_Car_Premium,Avg_num_cars,Avg_total_car_spending,Avg_property_premium,Avg_Age,Avg_Stand_of_furn,Avg_Rooms
8001,0.11432706222865413,246.77713458755426,0.15918958031837915,8719.247467438496,135399.42112879883,52.795947901591894,0.6266280752532561,1.0086830680173662
8002,0.15919487648673375,289.97008234217736,0.20860018298261665,9797.804208600182,117795.97438243366,47.64775846294602,0.7310155535224153,1.3728270814272645
8003,0.09123649459783914,156.68763505402168,0.14645858343337334,5384.153661464586,60006.402561024406,41.78951580632253,0.8215286114445778,1.5214085634253702
8004,0.10072158749248346,154.18740228502696,0.14040889957907396,5134.395670475045,60840.950090198436,42.18610944076969,0.682501503307276,1.2690920024052916
8005,0.1421732886548588,186.03518429870755,0.15844901866921973,6700.813786500718,77629.48779320248,42.34849210148396,0.7797989468645284,1.5026328386787937
8006,0.23881856540084387,207.49852320675114,0.17848101265822786,7487.341772151899,155833.33333333334,48.051898734177215,0.8687763713080169,1.709915611814346
8008,0.14744897959183673,251.80729591836734,0.1923469387755102,9124.489795918367,131530.10204081633,50.18775510204082,0.7591836734693878,1.3719387755102042
8021,0.0,0.0,0.0,0.0,210666.66666666666,46.166666666666664,0.5,1.6666666666666667
8022,0.5,0.0,0.0,0.0,520000.0,77.25,0.0,0.0
8024,0.0,166.79000000000002,0.1,4600.0,351400.0,70.8,0.5,0.7
8027,0.0,177.85,0.16666666666666666,2833.3333333333335,237500.0,67.66666666666667,0.3333333333333333,0.5833333333333334
8031,0.8,0.0,0.0,0.0,196400.0,62.8,0.6,1.6
8032,0.1963162623539982,248.88710691823886,0.19047619047619047,9029.649595687331,195630.27852650493,51.80053908355795,0.8288409703504043,1.5509883198562444
8034,0.0,0.0,0.0,0.0,124000.0,67.0,2.5,2.25
8036,0.0,0.0,0.0,0.0,64000.0,59.5,1.0,1.0833333333333333
8037,0.17415470125057897,156.1658175081056,0.1412691060676239,5376.563223714683,86081.98239925892,45.84900416859657,0.7318202871699862,1.4515979620194535
8038,0.25942241801272636,251.6752325012234,0.22418012726382772,8205.580029368575,125286.8330885952,50.84238864415076,0.7572197748409202,1.4850709740577581
8040,0.0,0.0,0.0,0.0,528750.0,83.5,0.25,0.75
8041,0.4037089871611983,275.4203994293863,0.24536376604850213,8990.014265335236,107111.26961483595,52.497860199714694,0.7132667617689016,1.5699001426533523
8042,0.0,0.0,0.0,0.0,150000.0,71.5,1.5,2.5
8044,0.28868360277136257,410.03903002309494,0.2763664357197845,15327.174749807544,302161.662817552,55.304080061585836,0.9584295612009238,1.7998460354118553
8045,0.27401837928153716,246.6710108604846,0.2121971595655806,9101.08604845447,103822.05513784461,47.326649958228906,0.783625730994152,1.5989974937343359
8046,0.30918656414407125,328.7721570214486,0.28369081343585595,10789.154188587616,92337.91987049778,50.33468231485229,0.79279643868879,1.7760016187778227
8047,0.20843672456575682,247.7595119933832,0.21670802315963605,8251.033912324236,93628.61869313482,50.171629445822994,0.8039702233250621,1.5738213399503722
8048,0.19486504279131006,251.0277156023697,0.22909809084924293,8144.173798551678,83173.4693877551,48.90552995391705,0.7873601053324556,1.6270572745227123
8049,0.2684893094987732,280.57472835611634,0.23063441990886785,9418.857343147563,127728.70662460568,52.668419207851386,0.9018576936558009,1.7602523659305993
8050,0.2613595056343148,231.23660487095606,0.19665576154125772,7544.892766266812,88491.0941475827,46.42420937840785,0.7593602326426754,1.5707015630679753
8051,0.25571725571725573,298.21517671517665,0.2624740124740125,9528.58627858628,77020.79002079002,50.37889812889813,0.7848232848232848,1.5914760914760915
8052,0.264859228362878,291.56892596454645,0.2591240875912409,9167.361835245047,89294.05630865485,49.512513034410844,0.897288842544317,1.7630344108446299
8053,0.28728414442700156,292.77064364207195,0.23783359497645212,9692.307692307691,195131.86813186813,58.57849293563579,0.9748822605965463,1.7755102040816326
8055,0.25032651284283847,231.1462777535917,0.2046147148454506,7835.002176752286,92246.8437091859,49.526338702655636,0.8715716151501959,1.672616456247279
8057,0.24881822088525998,200.98126342930792,0.18091963902019767,6771.379458530297,107294.37043403524,48.57370004297378,0.731413837559089,1.4671250537172325
8064,0.23595505617977527,280.1940074906368,0.25842696629213485,9479.40074906367,75501.87265917604,53.48314606741573,0.7340823970037453,1.5056179775280898
8098,0.0,0.0,0.0,0.0,772833.3333333334,86.16666666666667,0.5,0.75
Zurich,0.21656576774903688,240.99306972609125,0.20450023284365607,8172.050294229711,110386.64747470472,48.702785656830784,0.7990135896024724,1.5657571652343254
